userId,topic,cluster
f16b2520-6021-70ee-b980-7a50d804795d,a7,8
61bb4560-e0e1-70b5-d308-ad58511a0fc5,a3,5
117bf560-5011-70e9-de01-b833f5651c83,a1,4
01eb0530-d011-70d4-70a6-3d8b36a0733f,a3,8
c17b5520-f0b1-70c8-8bf1-0f5bd26a0cad,a3,0
c1eb8590-5071-70c5-90a9-bcbf8ca28ccb,a4,6
219b2590-e041-704c-6a88-f3a3366c6cc5,a2,3
211b0520-f0e1-7015-0094-4310c79ba2e6,a2,0
611bf540-9091-708a-926e-51ff59cf9473,a7,8
a13b5500-0021-7047-dba8-89607721af5d,a4,4
91ab45a0-6011-7078-f1e9-b3a94075f7b7,a7,0
218b1530-20e1-701a-ba31-9c86c7da05bc,a3,4
81bb0570-e0e1-70e9-3e09-b26d835387b4,a3,0
710bd530-f031-7016-ebe5-ee614a366f14,a5,4
01eb0530-d011-70d4-70a6-3d8b36a0733f,a7,4
c11bd560-50c1-70ac-8129-15966669f4ae,a3,8
511bf560-b061-7030-1534-373d6182148d,a6,6
310bd5d0-6061-7098-d41e-41b982248427,a5,5
81eb45d0-00d1-7089-fd06-0ffbbe5e2c7a,a4,5
81bb0570-e0e1-70e9-3e09-b26d835387b4,a2,0
a1cb4570-5011-70b5-5fdf-1eaee3de61f4,a2,5
91bbe500-b011-7005-c471-0da2f8815108,a3,5
c16be560-e061-709d-a447-5a0779910084,a5,4
11dbf510-3071-705c-f2d1-83420f60f130,a3,0
311bb5b0-8031-704a-d26b-1a35da2044f9,a7,4
01ebf5c0-7001-7089-68b3-ebba941641c4,a4,0
115ba5a0-f021-7098-63b7-6750e7705b72,a6,6
b1bbe550-6071-708d-a4b6-8d280dff01d0,a1,8
c11bd560-50c1-70ac-8129-15966669f4ae,a4,5
a10bd580-0091-709a-49e7-6e9c96ea58c6,a3,4
811bc590-9011-705e-82d7-38a6c705a6c4,a3,4
f17ba530-1081-709f-a59d-3f05cc7fb431,a3,0
310bd5d0-6061-7098-d41e-41b982248427,a3,5
f1abd540-a0f1-70c2-5c22-206895f355ca,a6,5
112b5570-40c1-70f5-ada6-8cd2d2eb5007,a1,4
61abe5e0-d021-7066-78e5-8732da2c09a0,a5,0
01ebf5c0-7001-7089-68b3-ebba941641c4,a5,6
e16b9530-e031-70ad-d225-033f2f45a27d,a4,0
e1cb9560-4091-706e-840f-87a913394f9e,a5,4
e14bd5d0-0021-70f1-8b50-efac4033a68a,a7,0
218b1530-20e1-701a-ba31-9c86c7da05bc,a5,5
219b2590-e041-704c-6a88-f3a3366c6cc5,a3,4
219b2590-e041-704c-6a88-f3a3366c6cc5,a6,0
611bf540-9091-708a-926e-51ff59cf9473,a4,3
719b2530-2001-7002-244b-0c90ec1dc48d,a3,0
71ab5570-8001-709a-1343-b36f475fb202,a7,5
e18b6520-b0e1-70b8-ec64-a69aa95d052f,a3,0
81fbd560-90f1-70a6-16ea-d6a5ac61b239,a3,3
e17b7530-3021-70d1-5891-3515d4c26ec6,a4,4
218ba540-4081-70eb-5d75-b3fa54f82268,a4,4
61eb0590-9001-70e9-9ded-e189346bd845,a5,8
017bc500-50b1-70d6-f73f-a218553355df,a2,4
b1bbe550-6071-708d-a4b6-8d280dff01d0,a7,4
011bd560-70e1-7036-62a9-3d29afd5179d,a3,0
61abe5e0-d021-7066-78e5-8732da2c09a0,a4,5
b14ba500-e041-701b-eba7-204e26a8a5b7,a3,3
f17ba530-1081-709f-a59d-3f05cc7fb431,a4,0
d16ba510-9071-703c-6c73-2f57834ea988,a4,0
11cb7520-40f1-70ca-46b8-915a77bae7de,a5,4
710bd530-f031-7016-ebe5-ee614a366f14,a4,0
31db5580-10e1-70d5-9f5c-004b166ac03c,a4,8
21fb65c0-a0d1-7058-ae17-4b20090157aa,a1,0
a1cb4570-5011-70b5-5fdf-1eaee3de61f4,a7,4
714b9540-8061-70d8-daaa-8a4b42d4dd71,a6,3
719b2530-2001-7002-244b-0c90ec1dc48d,a5,4
516b7570-00e1-700e-b368-e544714cb230,a2,4
81bb0570-e0e1-70e9-3e09-b26d835387b4,a5,4
b1cb15d0-c071-70b9-1731-442bca494a97,a2,8
81bb0570-e0e1-70e9-3e09-b26d835387b4,a4,5
a1eba540-c0b1-7047-0613-98a1815ad2ae,a3,0
611bf540-9091-708a-926e-51ff59cf9473,a6,5
e18b45c0-20a1-7039-271f-10630ddc7b88,a3,0
218ba540-4081-70eb-5d75-b3fa54f82268,a5,3
f17ba530-1081-709f-a59d-3f05cc7fb431,a5,4
813b4500-6031-701e-c56f-d60220a6081f,a3,5
61bb4560-e0e1-70b5-d308-ad58511a0fc5,a2,5
813b4500-6031-701e-c56f-d60220a6081f,a2,3
71cb5540-20c1-70a9-1806-fbc6af5f0b86,a3,5
711b6580-50d1-70c7-2c33-364aab9519a1,a3,0
514b6590-9031-70f3-bdf0-6fb6ff753346,a3,4
f11bd590-d0f1-70a8-f80a-d8522e3d0cd6,a1,8
b19ba550-c0d1-706b-5b31-6f30f3eaa255,a2,6
81cbb5e0-9011-7077-7e4e-7aca1564666c,a3,5
c1ab8590-4021-709d-24e8-65c1ff2dac53,a3,6
218ba540-4081-70eb-5d75-b3fa54f82268,a2,6
e1cb9560-4091-706e-840f-87a913394f9e,a3,4
91bbe500-b011-7005-c471-0da2f8815108,a4,0
e12ba500-f0e1-70f2-73ab-05c1cbc44b76,a6,0
f11bc560-6081-70ae-2949-07ca788f237b,a4,4
31cb6500-d081-7067-9d22-37992452f2ad,a2,4
c1ab8590-4021-709d-24e8-65c1ff2dac53,a4,4
d17b6520-5071-7048-0b67-edd7ac9f9e44,a2,0
c11bd560-50c1-70ac-8129-15966669f4ae,a5,5
311bb5b0-8031-704a-d26b-1a35da2044f9,a3,4
c11b3500-c051-70c9-5385-6797f6c08070,a3,5
a13b5500-0021-7047-dba8-89607721af5d,a3,4
415b55a0-10a1-704e-fbb1-94f533c8040b,a7,2
01eb9580-3071-70a9-01aa-f63e5dd14609,a3,0
a10bd580-0091-709a-49e7-6e9c96ea58c6,a6,4
714b9540-8061-70d8-daaa-8a4b42d4dd71,a7,4
81fbe5c0-8001-7054-3ac3-3e9db3f6e198,a3,5
31cb6500-d081-7067-9d22-37992452f2ad,a7,2
c1ab6550-a0a1-7068-381c-46a9e01d4df5,a7,0
41fb4560-10f1-7016-b8cc-cd2bc89239b7,a4,0
017bc500-50b1-70d6-f73f-a218553355df,a6,6
411be510-8031-7076-69a0-27626d9dd276,a3,5
31fbe520-0061-70e7-7783-8fdc38bd09fd,a5,5
01eb0530-d011-70d4-70a6-3d8b36a0733f,a4,5
f16b2520-6021-70ee-b980-7a50d804795d,a6,0
c18b0590-1021-70b2-a04d-7da82bf20079,a2,0
91ab25a0-f051-70ce-9d29-ac0649a68c53,a3,0
210bd5c0-70d1-7070-b076-8b8ae197fb56,a3,0
b1bbe550-6071-708d-a4b6-8d280dff01d0,a4,4
31cb6500-d081-7067-9d22-37992452f2ad,a5,5
f17ba530-1081-709f-a59d-3f05cc7fb431,a2,8
e16b9530-e031-70ad-d225-033f2f45a27d,a5,0
01eb0530-d011-70d4-70a6-3d8b36a0733f,a5,8
e14bd5d0-0021-70f1-8b50-efac4033a68a,a5,5
c11b3500-c051-70c9-5385-6797f6c08070,a4,0
019be580-4061-7075-debb-ffd77dc8ca40,a4,5
01cbf550-9041-70f1-3bbe-92176ffa992e,a2,4
112b5570-40c1-70f5-ada6-8cd2d2eb5007,a3,5
81bb0570-e0e1-70e9-3e09-b26d835387b4,a6,0
e12ba500-f0e1-70f2-73ab-05c1cbc44b76,a1,0
f17ba530-1081-709f-a59d-3f05cc7fb431,a6,4
410b95f0-5061-701c-4a3c-9930963ae77f,a2,3
c16be560-e061-709d-a447-5a0779910084,a2,2
919b25a0-0071-7022-b6bb-2716eefd7953,a4,4
f1abd540-a0f1-70c2-5c22-206895f355ca,a3,4
f1abd540-a0f1-70c2-5c22-206895f355ca,a4,4
f1cbc5b0-a0b1-7062-ca17-580f39de4c83,a6,8
31ab1560-b091-7055-7307-da7f622a0e6b,a4,6
21fb2560-d0c1-70cc-8456-cb80cc078b11,a5,2
116b0520-f0b1-70d5-0575-61162dd862fd,a1,8
01ebf5c0-7001-7089-68b3-ebba941641c4,a7,5
01ebf5c0-7001-7089-68b3-ebba941641c4,a3,8
a1eb05a0-7031-707b-b065-0f30c86f0a6e,a7,5
a1fbb540-3041-70e7-def6-bcec00a31d99,a5,2
f11bc560-6081-70ae-2949-07ca788f237b,a5,4
b19ba550-c0d1-706b-5b31-6f30f3eaa255,a3,2
e18b6520-b0e1-70b8-ec64-a69aa95d052f,a2,4
b10b7510-d0b1-702f-66b3-3c1a07997d6d,a2,5
71cb5540-20c1-70a9-1806-fbc6af5f0b86,a4,4
911b1530-f081-70c6-8ba9-81ba9defa173,a2,5
a15b55c0-6081-70cd-a61b-afbdaf0eff13,a3,0
514b6590-9031-70f3-bdf0-6fb6ff753346,a2,0
41cb85f0-d081-708c-e151-e2b062eb0f1d,a5,8
01cbf550-9041-70f1-3bbe-92176ffa992e,a6,4
613b1510-4051-7027-1ee2-8f2c72d3c64b,a6,5
c11b3500-c051-70c9-5385-6797f6c08070,a6,0
516b7570-00e1-700e-b368-e544714cb230,a5,3
51abb5c0-8061-70ad-a2f4-55de1f7ca8e9,a5,3
b13be530-5051-70d1-0e6c-be1458ec7929,a7,4
811bc590-9011-705e-82d7-38a6c705a6c4,a5,5
91bbd550-f0a1-7047-142d-6aeab04713b1,a3,4
31cb6500-d081-7067-9d22-37992452f2ad,a6,5
91ab45a0-6011-7078-f1e9-b3a94075f7b7,a6,4
91ab45a0-6011-7078-f1e9-b3a94075f7b7,a3,2
011bd560-70e1-7036-62a9-3d29afd5179d,a2,0
f14b7530-60e1-704a-f8d5-4855523e6d94,a4,0
c1eb8590-5071-70c5-90a9-bcbf8ca28ccb,a6,6
d17b6520-5071-7048-0b67-edd7ac9f9e44,a4,8
e12ba500-f0e1-70f2-73ab-05c1cbc44b76,a2,0
c17bf5d0-5091-70a9-0d1d-8fbc31f9c224,a2,4
c17be530-0011-7066-b860-92d133614a57,a3,8
a15b55c0-6081-70cd-a61b-afbdaf0eff13,a7,1
11cb0520-80d1-70f1-831e-2d3d54b32de3,a4,6
711b6580-50d1-70c7-2c33-364aab9519a1,a5,5
b14ba500-e041-701b-eba7-204e26a8a5b7,a7,6
b19ba550-c0d1-706b-5b31-6f30f3eaa255,a4,0
21fb65c0-a0d1-7058-ae17-4b20090157aa,a4,0
41cb85f0-d081-708c-e151-e2b062eb0f1d,a2,4
01cbf550-9041-70f1-3bbe-92176ffa992e,a4,5
81cbb5e0-9011-7077-7e4e-7aca1564666c,a2,2
b19ba550-c0d1-706b-5b31-6f30f3eaa255,a6,3
410bf580-d041-70ad-e668-e60717bb3b98,a3,0
61abe5e0-d021-7066-78e5-8732da2c09a0,a3,4
91ab25a0-f051-70ce-9d29-ac0649a68c53,a4,0
511bf560-b061-7030-1534-373d6182148d,a3,8
116b0520-f0b1-70d5-0575-61162dd862fd,a7,5
c17b5520-f0b1-70c8-8bf1-0f5bd26a0cad,a5,2
b13be530-5051-70d1-0e6c-be1458ec7929,a4,6
51abb5c0-8061-70ad-a2f4-55de1f7ca8e9,a6,8
f1abb5c0-3001-7042-a4b5-d6561c36322c,a6,4
817b9500-8071-700f-6d35-00db749ffca6,a2,4
817b9500-8071-700f-6d35-00db749ffca6,a4,0
c17bf5d0-5091-70a9-0d1d-8fbc31f9c224,a6,0
b13be530-5051-70d1-0e6c-be1458ec7929,a5,8
a1cb4570-5011-70b5-5fdf-1eaee3de61f4,a5,4
a19b0540-7071-7042-dcd4-e8b1bed38ef4,a4,5
71ab5570-8001-709a-1343-b36f475fb202,a6,4
a19b0540-7071-7042-dcd4-e8b1bed38ef4,a7,0
a1fbb540-3041-70e7-def6-bcec00a31d99,a3,5
01eb9580-3071-70a9-01aa-f63e5dd14609,a6,4
613b1510-4051-7027-1ee2-8f2c72d3c64b,a3,0
313b9520-e021-70f9-4924-88d88686726c,a4,0
a1fbb540-3041-70e7-def6-bcec00a31d99,a2,5
813b4500-6031-701e-c56f-d60220a6081f,a7,0
410b95f0-5061-701c-4a3c-9930963ae77f,a4,8
31db5580-10e1-70d5-9f5c-004b166ac03c,a5,2
115ba5a0-f021-7098-63b7-6750e7705b72,a4,0
a1fb3570-f021-705f-6d23-353ec8617ab4,a5,2
61abe5e0-d021-7066-78e5-8732da2c09a0,a6,4
41cb85f0-d081-708c-e151-e2b062eb0f1d,a3,0
617b2500-4071-70e9-29f1-b4c4ce63bfaa,a4,4
c1abe560-20f1-70dc-393f-5a083011e23f,a2,8
f11bc560-6081-70ae-2949-07ca788f237b,a7,5
31cb6500-d081-7067-9d22-37992452f2ad,a4,3
c17be530-0011-7066-b860-92d133614a57,a6,0
f14b7530-60e1-704a-f8d5-4855523e6d94,a5,2
61bb4560-e0e1-70b5-d308-ad58511a0fc5,a6,4
91ab45a0-6011-7078-f1e9-b3a94075f7b7,a4,6
a15b55c0-6081-70cd-a61b-afbdaf0eff13,a5,5
