	3rd-party-talk	Acknowledge (Backchannel)	Action-directive	Agree/Accept	Apology	Appreciation	Collaborative Completion	Conventional-closing	Conventional-opening	Declarative Yes-No-Question	Downplayer	Hold Before Answer/Agreement	No Answers	Offers, Options, Commits	Open-Question	Or-Clause	Other	Quotation	Reject	Repeat-phrase	Rhetorical-Question	Signal-non-understanding	Statement-non-opinion	Statement-opinion	Summarize/Reformulate	Thanking	Uninterpretable	Wh-Question	Yes-No-Question
Action-directive|Action-directive	0.000000	0.000000	0.008376	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002538	0.000000	0.000000	0.000000	0.000000	0.047716	0.016244	0.000000	0.000000	0.000000	0.005076	0.016497
Action-directive|Quotation	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020305	0.000000	0.000000	0.000000	0.000000	0.005076	0.000000
Action-directive|Statement-non-opinion	0.000000	0.000000	0.027073	0.000000	0.000000	0.000000	0.001269	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001692	0.000000	0.000000	0.005076	0.000000	0.000000	0.000846	0.000000	0.177665	0.001269	0.000000	0.000000	0.000000	0.049069	0.015228
Action-directive|Statement-opinion	0.000000	0.000000	0.005076	0.000000	0.005076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013536	0.000000	0.001692	0.000000	0.000000	0.000000	0.005076
Action-directive|Wh-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040609	0.000000	0.000000	0.000000	0.000000	0.005076	0.005076
Action-directive|Yes-No-Question	0.000000	0.000000	0.005076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005076	0.000000	0.091371	0.005076	0.000000	0.000000	0.000000	0.005076	0.015228
Collaborative Completion|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010152	0.000000	0.000000	0.000000	0.000000	0.025381	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Downplayer|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002538	0.000000	0.015228	0.000000	0.000000	0.000000	0.000000	0.012690	0.002538
Open-Question|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038071	0.000000	0.000000	0.000000	0.000000	0.002538	0.000000
Open-Question|Wh-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015228	0.000000	0.000000	0.000000	0.000000	0.015228	0.000000
Open-Question|Yes-No-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020305	0.000000	0.000000	0.000000	0.000000	0.000000	0.005076
Other|Action-directive	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025381	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Quotation|Statement-non-opinion	0.000000	0.000000	0.005076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005076	0.000000	0.000000	0.000000	0.000000	0.000000	0.010152	0.000000	0.045685	0.000000	0.000000	0.000000	0.000000	0.007614	0.012690
Quotation|Yes-No-Question	0.000000	0.000000	0.002538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020305	0.000000	0.020305	0.000000	0.000000	0.000000	0.000000	0.005076	0.002538
Rhetorical-Question|Statement-non-opinion	0.000000	0.000000	0.005499	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020305	0.000000	0.000000	0.002538	0.000000	0.114636	0.010152	0.000000	0.000000	0.000000	0.037225	0.048223
Rhetorical-Question|Wh-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012690	0.015228	0.000000	0.000000	0.000000	0.005076	0.002538
