	3rd-party-talk	Acknowledge (Backchannel)	Action-directive	Agree/Accept	Apology	Appreciation	Collaborative Completion	Conventional-closing	Conventional-opening	Declarative Yes-No-Question	Downplayer	Hold Before Answer/Agreement	No Answers	Offers, Options, Commits	Open-Question	Or-Clause	Other	Quotation	Reject	Repeat-phrase	Rhetorical-Question	Signal-non-understanding	Statement-non-opinion	Statement-opinion	Summarize/Reformulate	Thanking	Uninterpretable	Wh-Question	Yes-No-Question
Statement-non-opinion|Uninterpretable	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.005435	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000
Statement-non-opinion|Wh-Question	0.000000	0.000000	0.023279	0.000000	0.000000	0.001812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.002717	0.008152	0.000000	0.001766	0.027627	0.000000	0.212772	0.000000	0.000000	0.000000	0.000000	0.087591	0.069067
Statement-non-opinion|Yes-No-Question	0.000000	0.000000	0.046830	0.000000	0.002717	0.000000	0.006211	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004529	0.001812	0.000906	0.021739	0.000000	0.002717	0.070199	0.000000	0.224625	0.000000	0.001359	0.000000	0.000000	0.032428	0.105668
Statement-opinion|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054348	0.000000	0.000000	0.000000	0.000000	0.005435	0.010870
Uninterpretable|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Wh-Question|Action-directive	0.000000	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.052536	0.000000	0.000000	0.000000	0.000000	0.003623	0.019928
Wh-Question|Quotation	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870	0.000000	0.000000	0.000000	0.000000	0.051630	0.000000	0.000000	0.000000	0.000000	0.029891	0.000000
Wh-Question|Rhetorical-Question	0.000000	0.000000	0.019022	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.019022	0.000000	0.000000	0.027355	0.000000	0.053804	0.000000	0.005435	0.000000	0.000000	0.057428	0.024457
Wh-Question|Statement-non-opinion	0.000000	0.000000	0.031703	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002899	0.000000	0.000000	0.000000	0.000000	0.000000	0.013587	0.000000	0.000000	0.100996	0.000000	0.235719	0.001087	0.000000	0.000000	0.000000	0.045743	0.051963
Wh-Question|Wh-Question	0.000000	0.000000	0.018267	0.000000	0.000000	0.000000	0.001812	0.005435	0.000000	0.001359	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017210	0.000000	0.000000	0.049607	0.000000	0.094746	0.000000	0.000000	0.000000	0.000000	0.099124	0.054831
Wh-Question|Yes-No-Question	0.000000	0.000000	0.022826	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017391	0.000000	0.000000	0.016214	0.000000	0.100543	0.000000	0.000000	0.000000	0.000000	0.065851	0.065217
Yes-No-Question|Action-directive	0.000000	0.000000	0.018116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008152	0.000000	0.082428	0.000000	0.000000	0.000000	0.000000	0.024457	0.024457
Yes-No-Question|Collaborative Completion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.016304	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Yes-No-Question|Quotation	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870	0.000000	0.000000	0.016304	0.000000	0.038043	0.000000	0.000000	0.000000	0.000000	0.002717	0.016304
Yes-No-Question|Rhetorical-Question	0.000000	0.000000	0.024457	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.002717	0.000000	0.000000	0.016304	0.000000	0.057971	0.000000	0.000000	0.000000	0.002717	0.037138	0.086957
Yes-No-Question|Statement-non-opinion	0.000000	0.000000	0.009511	0.000000	0.005435	0.000000	0.000776	0.000000	0.000000	0.000000	0.000000	0.000000	0.001087	0.000000	0.000000	0.002717	0.010870	0.005435	0.000000	0.021739	0.032609	0.002717	0.267501	0.019022	0.000000	0.000000	0.000000	0.042663	0.045309
Yes-No-Question|Wh-Question	0.000000	0.000000	0.009511	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001359	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001812	0.016304	0.000000	0.000000	0.040761	0.000000	0.116848	0.000000	0.000000	0.000000	0.000000	0.064493	0.036957
Yes-No-Question|Yes-No-Question	0.000000	0.000000	0.032609	0.000000	0.000000	0.000000	0.002717	0.000000	0.000000	0.001581	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.002174	0.000000	0.000000	0.041486	0.000000	0.079438	0.000000	0.000000	0.005435	0.002717	0.051252	0.084939
