	3rd-party-talk	Acknowledge (Backchannel)	Action-directive	Agree/Accept	Apology	Appreciation	Collaborative Completion	Conventional-closing	Conventional-opening	Declarative Yes-No-Question	Downplayer	Hold Before Answer/Agreement	No Answers	Offers, Options, Commits	Open-Question	Or-Clause	Other	Quotation	Reject	Repeat-phrase	Rhetorical-Question	Signal-non-understanding	Statement-non-opinion	Statement-opinion	Summarize/Reformulate	Thanking	Uninterpretable	Wh-Question	Yes-No-Question
Action-directive|Action-directive	0.000000	0.000000	0.017210	0.000000	0.000000	0.000000	0.008152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.153986	0.000000	0.005435	0.000000	0.000000	0.005435	0.000000
Action-directive|Collaborative Completion	0.000000	0.000000	0.016304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.032609	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Action-directive|Quotation	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021739	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000
Action-directive|Rhetorical-Question	0.000000	0.000000	0.008152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029891	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435
Action-directive|Statement-non-opinion	0.000000	0.000000	0.081658	0.000000	0.000000	0.000000	0.000906	0.000000	0.002717	0.000000	0.006793	0.000000	0.000000	0.000000	0.019022	0.000000	0.007246	0.005888	0.000000	0.000000	0.004076	0.000000	0.360643	0.023551	0.000000	0.000000	0.001812	0.039402	0.027808
Action-directive|Statement-opinion	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Action-directive|Wh-Question	0.000000	0.000000	0.013587	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.002717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059783	0.000000	0.005435	0.000000	0.000000	0.027174	0.000000
Action-directive|Yes-No-Question	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008152	0.000000	0.000000	0.005435	0.000000	0.027174	0.000000	0.000000	0.000000	0.000000	0.009058	0.007246
Collaborative Completion|Action-directive	0.000000	0.000000	0.016304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.005435	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000
Collaborative Completion|Statement-non-opinion	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870	0.000000	0.059783	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Conventional-opening|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.065217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Downplayer|Action-directive	0.000000	0.000000	0.010870	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000
Downplayer|Statement-non-opinion	0.000000	0.000000	0.010870	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016304	0.000000	0.000000	0.000000	0.000000	0.073370	0.000000	0.000000	0.000000	0.000000	0.002717	0.005435
Open-Question|Action-directive	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000
Open-Question|Statement-non-opinion	0.000000	0.000000	0.010870	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Other|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.000000	0.084239	0.000000	0.000000	0.000000	0.000000	0.010870	0.005435
Quotation|Statement-non-opinion	0.000000	0.000000	0.010870	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.010870	0.000000	0.000000	0.000000	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.005435	0.000000	0.106522	0.000000	0.000000	0.000000	0.006522	0.005435	0.003804
Quotation|Yes-No-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043478	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435
Rhetorical-Question|Action-directive	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008152	0.000000	0.019022	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000
Rhetorical-Question|Rhetorical-Question	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008152	0.000000	0.016304	0.000000	0.000000	0.000000	0.000000	0.002717	0.000000
Rhetorical-Question|Statement-non-opinion	0.000000	0.000000	0.022192	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.010870	0.000000	0.000000	0.000000	0.010870	0.000000	0.005435	0.012681	0.000000	0.001359	0.001359	0.000000	0.111413	0.002717	0.010870	0.000000	0.000000	0.008605	0.008152
Rhetorical-Question|Statement-opinion	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870
Rhetorical-Question|Wh-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029891	0.000000	0.000000	0.000000	0.000000	0.000000	0.002717
Rhetorical-Question|Yes-No-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.032609	0.000000	0.000000	0.000000	0.000000	0.010870	0.000000
Statement-non-opinion|Action-directive	0.000000	0.000000	0.096972	0.000604	0.000000	0.007246	0.023551	0.000000	0.001812	0.000000	0.002717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004529	0.000000	0.000000	0.007570	0.000000	0.403144	0.003192	0.000604	0.000000	0.008023	0.066486	0.031159
Statement-non-opinion|Collaborative Completion	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.029891	0.005435	0.000000	0.000000	0.005435	0.005435	0.008152
Statement-non-opinion|Downplayer	0.000000	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.065217	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000
Statement-non-opinion|Open-Question	0.000000	0.000000	0.016304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.005435	0.000000	0.043478	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Statement-non-opinion|Other	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008152	0.000000	0.000000	0.000000	0.000000	0.000000	0.089674	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Statement-non-opinion|Quotation	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013587	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.002717	0.000000	0.120471	0.000000	0.000000	0.000000	0.000000	0.005435	0.037138
Statement-non-opinion|Rhetorical-Question	0.000000	0.000000	0.007246	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001812	0.000000	0.016304	0.011775	0.000000	0.125906	0.027174	0.000000	0.000000	0.000000	0.020833	0.006341
Statement-non-opinion|Statement-non-opinion	0.000000	0.000776	0.217340	0.000000	0.000000	0.000320	0.005485	0.000604	0.001909	0.004716	0.011581	0.000000	0.000000	0.000000	0.003304	0.000000	0.011334	0.018079	0.000000	0.000956	0.033064	0.000000	0.450770	0.012111	0.000495	0.000000	0.015762	0.052643	0.044620
Statement-non-opinion|Statement-opinion	0.000000	0.000000	0.001812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004529	0.000000	0.000000	0.000000	0.000000	0.126359	0.005435	0.000000	0.000000	0.000000	0.005435	0.039402
