cluster,from,to,count,prop_from
5,Quotation,Statement-non-opinion,31,0.6739
5,Wh-Question,Yes-No-Question,30,0.1395
5,Yes-No-Question,Wh-Question,29,0.1343
5,Statement-non-opinion,Other,28,0.0146
5,Statement-non-opinion,Quotation,28,0.0146
5,Action-directive,Yes-No-Question,21,0.0671
5,Wh-Question,Rhetorical-Question,21,0.0977
5,Conventional-opening,Statement-non-opinion,20,0.8333
6,Statement-non-opinion,Statement-non-opinion,371,0.677
6,Action-directive,Statement-non-opinion,63,0.6176
6,Statement-non-opinion,Action-directive,54,0.0985
6,Statement-non-opinion,Yes-No-Question,37,0.0675
6,Statement-non-opinion,Wh-Question,36,0.0657
6,Yes-No-Question,Statement-non-opinion,31,0.5345
6,Action-directive,Action-directive,26,0.2549
6,Wh-Question,Statement-non-opinion,21,0.4118
6,Quotation,Statement-non-opinion,19,0.6786
6,Wh-Question,Action-directive,17,0.3333
6,Statement-non-opinion,Quotation,17,0.031
6,Statement-non-opinion,Rhetorical-Question,9,0.0164
6,Statement-opinion,Statement-non-opinion,9,0.9
6,Yes-No-Question,Yes-No-Question,9,0.1552
6,Statement-non-opinion,Acknowledge (Backchannel),7,0.0128
6,Acknowledge (Backchannel),Acknowledge (Backchannel),7,0.4667
6,Acknowledge (Backchannel),Statement-non-opinion,6,0.4
6,Wh-Question,Yes-No-Question,6,0.1176
6,Rhetorical-Question,Statement-non-opinion,5,0.4545
6,Statement-non-opinion,Statement-opinion,5,0.0091
6,Yes-No-Question,Other,5,0.0862
6,Yes-No-Question,Wh-Question,5,0.0862
6,Uninterpretable,Statement-non-opinion,5,1.0
6,Yes-No-Question,Action-directive,4,0.069
6,Action-directive,Wh-Question,4,0.0392
7,Statement-non-opinion,Yes-No-Question,20,0.8
7,Yes-No-Question,Statement-non-opinion,8,0.8
7,Statement-non-opinion,Statement-non-opinion,3,0.12
7,Yes-No-Question,Wh-Question,2,0.2
7,Statement-non-opinion,Action-directive,2,0.08
7,Wh-Question,Wh-Question,2,0.6667
7,Statement-opinion,Statement-non-opinion,1,1.0
7,Action-directive,Statement-non-opinion,1,1.0
7,Wh-Question,Statement-non-opinion,1,0.3333
8,Statement-non-opinion,Statement-non-opinion,486,0.5704
8,Wh-Question,Statement-non-opinion,94,0.39
8,Statement-non-opinion,Wh-Question,87,0.1021
8,Statement-non-opinion,Action-directive,78,0.0915
8,Wh-Question,Wh-Question,74,0.3071
8,Yes-No-Question,Statement-non-opinion,73,0.432
8,Statement-non-opinion,Yes-No-Question,73,0.0857
8,Action-directive,Statement-non-opinion,61,0.4453
8,Statement-non-opinion,Rhetorical-Question,46,0.054
8,Rhetorical-Question,Statement-non-opinion,37,0.3814
8,Yes-No-Question,Yes-No-Question,32,0.1893
8,Wh-Question,Yes-No-Question,25,0.1037
8,Yes-No-Question,Wh-Question,24,0.142
8,Statement-non-opinion,Open-Question,22,0.0258
8,Statement-non-opinion,Quotation,21,0.0246
