from_cluster,to_cluster,count,from_topic,to_topic
6.0,0.0,1,a2,a3
4.0,8.0,1,a2,a3
4.0,2.0,1,a2,a3
0.0,1.0,1,a2,a3
2.0,2.0,1,a2,a3
2.0,1.0,1,a2,a3
1.0,1.0,1,a2,a3
1.0,0.0,1,a2,a3
0.0,9.0,1,a2,a3
0.0,6.0,1,a2,a3
0.0,5.0,1,a2,a3
9.0,5.0,1,a2,a3
0.0,4.0,11,a3,a4
0.0,0.0,9,a3,a4
2.0,0.0,6,a3,a4
4.0,0.0,5,a3,a4
5.0,0.0,5,a3,a4
0.0,2.0,4,a3,a4
4.0,4.0,4,a3,a4
4.0,5.0,4,a3,a4
2.0,6.0,4,a3,a4
3.0,5.0,3,a3,a4
3.0,2.0,3,a3,a4
5.0,3.0,3,a3,a4
5.0,4.0,3,a3,a4
0.0,8.0,3,a3,a4
8.0,2.0,3,a3,a4
0.0,5.0,3,a3,a4
8.0,5.0,3,a3,a4
3.0,4.0,3,a3,a4
5.0,5.0,2,a3,a4
5.0,2.0,2,a3,a4
5.0,6.0,2,a3,a4
5.0,8.0,2,a3,a4
4.0,8.0,2,a3,a4
6.0,0.0,2,a3,a4
4.0,2.0,2,a3,a4
3.0,1.0,2,a3,a4
3.0,0.0,2,a3,a4
2.0,3.0,2,a3,a4
0.0,6.0,2,a3,a4
3.0,3.0,2,a3,a4
3.0,6.0,1,a3,a4
6.0,5.0,1,a3,a4
9.0,2.0,1,a3,a4
9.0,0.0,1,a3,a4
8.0,8.0,1,a3,a4
0.0,3.0,1,a3,a4
8.0,4.0,1,a3,a4
8.0,3.0,1,a3,a4
8.0,0.0,1,a3,a4
7.0,5.0,1,a3,a4
6.0,6.0,1,a3,a4
5.0,9.0,1,a3,a4
6.0,4.0,1,a3,a4
1.0,0.0,1,a3,a4
1.0,4.0,1,a3,a4
1.0,5.0,1,a3,a4
1.0,6.0,1,a3,a4
1.0,7.0,1,a3,a4
1.0,8.0,1,a3,a4
1.0,9.0,1,a3,a4
5.0,1.0,1,a3,a4
2.0,5.0,1,a3,a4
0.0,1.0,1,a3,a4
9.0,3.0,1,a3,a4
0.0,2.0,11,a4,a5
2.0,2.0,6,a4,a5
4.0,2.0,5,a4,a5
0.0,5.0,5,a4,a5
4.0,0.0,4,a4,a5
0.0,4.0,4,a4,a5
5.0,4.0,4,a4,a5
4.0,4.0,4,a4,a5
3.0,5.0,3,a4,a5
5.0,5.0,3,a4,a5
5.0,8.0,3,a4,a5
0.0,0.0,3,a4,a5
6.0,8.0,3,a4,a5
0.0,8.0,3,a4,a5
0.0,6.0,3,a4,a5
2.0,3.0,3,a4,a5
6.0,5.0,2,a4,a5
6.0,3.0,2,a4,a5
6.0,2.0,2,a4,a5
8.0,4.0,2,a4,a5
8.0,5.0,2,a4,a5
5.0,2.0,2,a4,a5
5.0,0.0,2,a4,a5
8.0,8.0,2,a4,a5
4.0,8.0,2,a4,a5
4.0,3.0,2,a4,a5
0.0,1.0,2,a4,a5
2.0,4.0,2,a4,a5
0.0,3.0,2,a4,a5
